#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","try { . ""c:\Users\vijay\AppData\Local\Programs\Microsoft VS Code\resources\app\out\vs\workbench\contrib\terminal\common\scripts\shellIntegration.ps1"" } catch {}","Completed","03-07-2025 20:06:24","03-07-2025 20:06:24"
"2","mvn spring-boot:run
","Completed","03-07-2025 20:06:26","03-07-2025 20:06:29"
"3","mvn clean install
mvn spring-boot:run
","Completed","03-07-2025 20:09:32","03-07-2025 20:09:37"
"4","mvn spring-boot:run
","Completed","03-07-2025 20:11:47","03-07-2025 20:11:49"
"5","mvn clean install -U
","Completed","03-07-2025 20:12:02","03-07-2025 20:12:04"
"6","mvn -X spring-boot:run
","Completed","03-07-2025 20:12:14","03-07-2025 20:12:17"
"7","dir pom.xml
","Completed","03-07-2025 20:14:49","03-07-2025 20:14:49"
"8","cd C:\patient-service\patient-service
","Completed","03-07-2025 20:16:50","03-07-2025 20:16:50"
"9","mvn clean install
mvn spring-boot:run
","Completed","03-07-2025 20:16:59","03-07-2025 20:17:36"
"10","cd C:\patient-service
mvn clean package
","Completed","03-07-2025 20:41:40","03-07-2025 20:41:42"
"11","cd C:\patient-service\patient-service
","Completed","03-07-2025 20:42:25","03-07-2025 20:42:25"
"12","C:\patient-service\patient-service\target\
","Completed","03-07-2025 20:42:36","03-07-2025 20:42:36"
"13","mvn clean package
","Completed","03-07-2025 20:43:20","03-07-2025 20:43:35"
"14","docker build -t medicure/patient-service .
","Completed","03-07-2025 20:44:04","03-07-2025 20:44:05"
"15"," docker build -t medicure/patient-service","Completed","03-07-2025 20:48:23","03-07-2025 20:48:23"
"16","docker build -t medicure/patient-service .
","Completed","03-07-2025 20:48:48","03-07-2025 20:48:52"
"17","dir target
","Completed","03-07-2025 20:50:57","03-07-2025 20:50:57"
"18","cd C:\patient-service\patient-service
docker build -t medicure/patient-service .
","Completed","03-07-2025 20:52:01","03-07-2025 20:52:07"
"19","docker run -p 8081:8080 medicure/patient-service
","Stopped","03-07-2025 20:53:23","03-07-2025 21:05:48"
"20","git add Jenkinsfile
git commit -m ""Add Jenkins pipeline""
git push
","Completed","03-07-2025 21:06:13","03-07-2025 21:06:17"
"21","git rm patient-service/Jenkinsfile
git add Jenkinsfile
git commit -m ""Move Jenkinsfile to repo root""
git push origin main
","Completed","03-07-2025 21:16:18","03-07-2025 21:16:22"
"22","C:\patient-service\patient-service\Jenkinsfile
","Completed","03-07-2025 21:17:11","03-07-2025 21:17:11"
"23","dir .\Jenkinsfile
","Completed","03-07-2025 21:17:50","03-07-2025 21:17:50"
"24","git status
","Completed","03-07-2025 21:18:14","03-07-2025 21:18:15"
"25","git add Dockerfile
git commit -m ""Add Dockerfile""
git push origin main
","Completed","03-07-2025 21:18:55","03-07-2025 21:18:59"
"26","git mv patient-service/Jenkinsfile Jenkinsfile
git commit -m ""Move Jenkinsfile to repo root""
git push origin main
","Completed","03-07-2025 21:23:48","03-07-2025 21:23:51"
"27","git mv Jenkinsfile ../
","Completed","03-07-2025 21:24:56","03-07-2025 21:24:56"
"28","cd ..
","Completed","03-07-2025 21:25:07","03-07-2025 21:25:07"
"29","dir Jenkinsfile
","Completed","03-07-2025 21:25:14","03-07-2025 21:25:14"
"30","git add Jenkinsfile
git commit -m ""Move Jenkinsfile to repo root""
git push origin main
","Completed","03-07-2025 21:25:23","03-07-2025 21:25:26"
"31","git add Jenkinsfile
git commit -m ""Fix Jenkinsfile: add stages block""
git push origin main
","Completed","03-07-2025 21:38:45","03-07-2025 21:38:48"
"32","git add Jenkinsfile
git commit -m ""Fix Jenkinsfile: run commands inside patient-service folder""
git push origin main
","Completed","03-07-2025 21:43:12","03-07-2025 21:43:16"
